index,Age,Sex,Job,Housing,Saving accounts,Credit amount,Duration,Purpose,Risk
689,31,male,2,own,rich,3651,12,car,good
690,25,male,2,own,little,975,15,furniture/equipment,good
691,25,female,1,own,moderate,2631,15,repairs,good
692,29,male,2,own,moderate,2896,24,radio/TV,good
694,28,male,2,own,little,2284,24,radio/TV,good
695,50,male,2,rent,quite rich,1236,6,car,good
696,29,male,2,own,little,1103,12,radio/TV,good
697,38,female,0,own,little,926,12,car,good
698,24,male,2,own,little,1800,18,radio/TV,good
699,40,male,3,rent,little,1905,15,education,good
700,29,female,1,rent,quite rich,1123,12,furniture/equipment,bad
701,46,male,2,free,little,6331,48,car,bad
702,47,female,2,free,moderate,1377,24,radio/TV,good
703,41,male,2,own,moderate,2503,30,business,good
704,32,female,2,own,little,2528,27,business,good
705,35,female,2,free,quite rich,5324,15,car,good
706,24,male,2,own,moderate,6560,48,car,bad
707,25,female,2,rent,little,2969,12,furniture/equipment,bad
708,25,female,2,own,little,1206,9,radio/TV,good
709,37,male,1,own,little,2118,9,radio/TV,good
710,32,male,3,own,quite rich,629,18,radio/TV,good
711,35,female,2,free,little,1198,6,education,bad
713,25,male,1,own,little,1138,9,radio/TV,good
714,27,male,3,own,little,14027,60,car,bad
717,32,male,3,free,little,1505,18,radio/TV,good
719,31,male,2,own,moderate,6148,20,car,good
720,34,male,3,own,little,1337,9,radio/TV,bad
721,24,female,2,rent,rich,433,6,education,bad
722,24,female,1,own,little,1228,12,car,bad
723,66,female,1,own,quite rich,790,9,radio/TV,good
724,21,female,2,rent,little,2570,27,car,bad
725,41,female,1,own,rich,250,6,car,good
726,47,male,1,own,quite rich,1316,15,radio/TV,good
727,25,female,2,rent,little,1882,18,radio/TV,bad
728,59,female,2,rent,little,6416,48,business,bad
729,36,male,2,own,rich,1275,24,business,good
730,33,male,2,own,little,6403,24,radio/TV,good
731,21,male,1,rent,little,1987,24,radio/TV,bad
732,44,female,1,own,little,760,8,radio/TV,good
733,28,female,2,rent,rich,2603,24,car,good
734,37,female,2,own,little,3380,4,car,good
736,23,female,3,rent,little,11560,24,car,bad
737,35,male,1,own,moderate,4380,18,car,good
738,45,male,3,own,little,6761,6,car,good
739,26,female,1,rent,moderate,4280,30,business,bad
740,32,male,2,own,moderate,2325,24,car,good
741,23,male,1,own,little,1048,10,radio/TV,good
743,22,male,2,own,quite rich,2483,24,furniture/equipment,good
745,28,male,1,own,little,1797,13,business,good
746,23,female,2,rent,little,2511,15,car,good
747,37,female,1,own,little,1274,12,car,bad
749,33,male,2,own,little,3029,15,car,good
750,49,female,2,own,little,428,6,furniture/equipment,good
751,23,female,1,own,little,976,18,car,bad
752,23,female,1,rent,moderate,841,12,business,good
753,25,female,2,own,little,5771,30,radio/TV,good
754,55,male,2,free,rich,1555,12,repairs,bad
756,74,male,0,own,little,1299,6,car,good
758,31,male,2,own,little,1393,24,car,good
759,35,male,2,own,little,691,12,car,bad
761,24,female,2,rent,little,2124,18,furniture/equipment,bad
762,24,male,1,own,little,2214,12,radio/TV,good
764,27,male,2,own,moderate,2463,24,car,good
765,40,male,1,own,little,1155,12,radio/TV,good
766,31,male,1,own,little,3108,30,furniture/equipment,bad
768,28,male,2,rent,little,3617,12,furniture/equipment,good
769,63,male,1,own,little,1655,12,radio/TV,good
771,25,female,3,own,little,8065,36,education,bad
772,36,male,3,own,little,3275,21,car,good
773,52,male,2,own,moderate,2223,24,radio/TV,good
774,66,male,0,free,quite rich,1480,12,car,good
776,37,male,2,own,little,3535,36,car,good
777,25,female,2,own,little,3509,18,radio/TV,good
778,38,male,3,own,rich,5711,36,car,good
779,67,female,2,own,little,3872,18,repairs,good
780,25,male,2,own,little,4933,39,radio/TV,bad
781,60,male,2,own,rich,1940,24,car,good
782,31,male,1,own,little,1410,12,education,good
783,23,female,1,own,moderate,836,12,car,bad
785,35,male,1,own,rich,1941,18,business,good
786,40,male,2,own,quite rich,2675,22,radio/TV,good
788,50,male,2,free,little,6224,48,education,bad
789,27,male,2,own,little,5998,40,education,bad
790,39,female,2,own,little,1188,21,business,bad
793,51,male,2,free,little,2892,24,furniture/equipment,good
794,32,male,2,rent,quite rich,3062,24,furniture/equipment,good
795,22,female,2,rent,moderate,2301,9,furniture/equipment,good
797,22,female,1,rent,little,1258,12,furniture/equipment,good
800,54,male,2,free,little,1597,24,education,good
801,48,female,1,rent,little,1795,18,radio/TV,good
802,24,female,2,own,little,4272,20,furniture/equipment,good
805,24,male,2,own,little,9271,36,car,bad
806,26,male,1,own,little,590,6,radio/TV,good
808,55,male,3,free,little,9283,42,car,good
809,26,female,0,rent,little,1778,15,car,bad
810,26,male,2,own,little,907,8,business,good
811,28,male,1,own,little,484,6,radio/TV,good
812,24,male,2,own,little,9629,36,car,bad
813,54,male,2,own,little,3051,48,domestic appliances,bad
814,46,male,2,free,little,3931,48,car,bad
815,54,female,2,rent,little,7432,36,car,good
816,62,male,2,own,quite rich,1338,6,domestic appliances,good
817,24,female,2,rent,little,1554,6,radio/TV,good
818,43,male,3,own,little,15857,36,vacation/others,good
819,26,male,2,own,little,1345,18,radio/TV,bad
820,27,male,2,own,little,1101,12,car,good
821,24,male,2,own,little,3016,12,radio/TV,good
822,41,male,2,own,little,2712,36,furniture/equipment,bad
823,47,male,1,own,little,731,8,car,good
824,35,male,3,own,little,3780,18,furniture/equipment,good
825,30,male,2,own,little,1602,21,car,good
826,33,female,2,rent,little,3966,18,car,bad
827,36,male,2,own,little,4165,18,business,bad
830,44,male,2,own,quite rich,2375,24,business,good
831,23,female,2,rent,little,1216,18,car,bad
832,29,male,2,rent,little,11816,45,business,bad
834,25,female,1,own,little,2327,15,radio/TV,bad
835,48,male,2,own,little,1082,12,car,bad
837,23,female,1,rent,little,601,4,furniture/equipment,good
838,63,male,2,own,little,2957,24,car,good
839,46,male,2,own,little,2611,24,radio/TV,good
840,29,male,2,own,little,5179,36,furniture/equipment,bad
841,28,male,1,own,little,2993,21,car,good
842,23,female,2,own,little,1943,18,repairs,bad
843,50,male,2,own,little,1559,24,business,good
844,47,male,2,own,little,3422,18,furniture/equipment,good
847,28,male,2,own,little,1249,24,car,good
848,59,male,2,own,little,1364,9,radio/TV,good
849,57,male,1,own,little,709,12,radio/TV,bad
850,33,male,2,rent,little,2235,20,car,bad
852,35,male,2,free,little,1471,15,radio/TV,good
853,32,male,1,free,little,1442,18,car,bad
854,45,male,2,own,little,10875,36,car,good
855,33,male,2,own,moderate,1474,24,car,good
857,28,male,2,free,little,3343,15,furniture/equipment,good
858,29,female,2,own,little,3959,15,car,bad
859,26,male,2,rent,moderate,3577,9,car,good
860,27,male,2,own,rich,5804,24,car,good
861,28,male,2,own,little,2169,18,business,bad
862,35,female,2,own,little,2439,24,radio/TV,bad
863,32,male,1,own,rich,4526,27,furniture/equipment,good
864,25,male,1,rent,little,2210,10,furniture/equipment,bad
865,20,female,2,rent,quite rich,2221,15,furniture/equipment,good
866,27,female,2,own,little,2389,18,radio/TV,good
867,42,male,2,own,little,3331,12,furniture/equipment,good
869,24,female,2,rent,little,652,12,furniture/equipment,good
870,40,female,2,own,quite rich,7678,36,furniture/equipment,good
871,46,male,2,own,little,1343,6,car,good
872,26,male,2,own,moderate,1382,24,business,good
874,29,male,1,own,little,3590,12,furniture/equipment,good
875,40,female,2,own,rich,1322,11,car,good
876,36,male,3,free,little,1940,18,radio/TV,good
877,28,male,2,own,little,3595,36,radio/TV,good
878,27,male,3,free,little,1422,9,car,bad
880,38,male,3,own,little,7814,24,car,good
883,65,female,0,own,little,1098,18,radio/TV,good
884,43,male,2,own,little,4057,24,furniture/equipment,bad
885,53,female,2,own,little,795,12,education,bad
887,23,male,2,own,little,15672,48,business,bad
888,34,male,3,own,little,6614,36,car,good
890,43,male,3,own,little,2442,27,business,good
891,46,male,2,own,little,1829,15,radio/TV,good
892,38,male,1,own,little,2171,12,car,good
893,34,male,2,own,little,5800,36,car,good
896,28,female,3,rent,little,2606,21,radio/TV,good
897,35,female,2,own,rich,1592,12,furniture/equipment,good
899,42,male,2,own,little,4153,18,furniture/equipment,bad
900,43,male,2,rent,little,2625,16,car,bad
904,36,male,3,own,little,1278,24,radio/TV,good
905,20,male,3,rent,little,1107,12,radio/TV,good
908,46,female,1,own,little,3594,15,car,good
910,34,female,2,own,little,4454,36,radio/TV,good
911,25,female,1,own,little,4736,24,furniture/equipment,bad
913,28,male,2,own,rich,2142,11,business,good
914,31,male,2,rent,little,3161,24,business,bad
915,32,female,3,own,little,18424,48,vacation/others,bad
916,32,male,2,own,moderate,2848,10,car,good
917,68,male,3,own,little,14896,6,car,bad
918,33,male,2,own,moderate,2359,24,furniture/equipment,bad
919,39,male,3,rent,little,3345,24,furniture/equipment,bad
920,28,female,2,own,little,1817,18,furniture/equipment,good
921,37,male,3,own,quite rich,12749,48,radio/TV,good
922,22,female,2,rent,little,1366,9,radio/TV,bad
923,30,male,2,rent,little,2002,12,car,good
924,55,male,2,own,little,6872,24,furniture/equipment,bad
925,46,male,2,own,little,697,12,car,bad
926,21,female,2,rent,little,1049,18,furniture/equipment,good
927,39,male,2,free,little,10297,48,car,bad
929,43,male,1,own,little,1344,12,car,good
930,24,male,1,own,little,1747,24,furniture/equipment,good
931,22,female,2,own,little,1670,9,radio/TV,bad
932,30,male,2,own,little,1224,9,car,good
933,42,male,2,own,quite rich,522,12,radio/TV,good
934,23,female,2,own,little,1498,12,radio/TV,good
935,30,male,3,own,moderate,1919,30,radio/TV,bad
936,28,female,1,own,little,745,9,radio/TV,bad
937,30,male,3,rent,little,2063,6,radio/TV,good
938,42,male,2,free,little,6288,60,education,bad
941,31,male,1,own,little,1546,10,car,good
943,42,male,1,own,little,1455,4,car,good
944,46,female,2,rent,little,1845,15,furniture/equipment,good
945,30,female,2,own,quite rich,8358,48,car,good
946,30,male,2,free,quite rich,3349,24,furniture/equipment,bad
948,43,male,1,own,little,1533,18,furniture/equipment,bad
949,31,male,2,own,moderate,3621,24,radio/TV,bad
950,40,male,0,own,little,3590,18,business,good
951,24,male,2,own,little,2145,36,business,bad
952,28,female,2,rent,quite rich,4113,24,car,bad
953,26,female,3,own,little,10974,36,furniture/equipment,bad
954,29,female,2,own,little,1893,12,car,good
955,57,female,3,rent,rich,1231,24,radio/TV,good
957,37,male,1,own,little,1154,9,radio/TV,good
958,45,male,1,own,little,4006,28,car,bad
959,30,male,2,free,moderate,3069,24,furniture/equipment,good
960,30,male,2,rent,little,1740,6,radio/TV,good
961,47,male,2,own,little,2353,21,car,good
963,35,male,2,own,quite rich,2397,24,radio/TV,bad
964,22,male,1,own,little,454,6,repairs,good
966,23,male,1,own,quite rich,2520,27,radio/TV,bad
967,54,female,3,rent,little,3568,15,radio/TV,good
969,40,male,1,own,little,3939,11,car,good
970,22,male,2,own,moderate,1514,15,repairs,good
971,43,male,1,own,little,7393,24,car,good
972,29,female,0,rent,little,1193,24,car,bad
973,36,male,2,rent,little,7297,60,business,bad
974,33,female,2,own,little,2831,30,radio/TV,good
975,57,female,1,own,quite rich,1258,24,radio/TV,good
976,64,female,2,own,little,753,6,radio/TV,good
978,47,male,1,own,little,2538,24,car,bad
979,25,male,2,rent,moderate,1264,15,car,bad
980,49,male,2,own,little,8386,30,furniture/equipment,bad
981,33,male,3,rent,little,4844,48,business,bad
982,28,female,3,own,moderate,2923,21,car,good
983,26,male,2,own,little,8229,36,car,bad
984,30,male,1,own,little,2028,24,furniture/equipment,good
985,25,female,2,rent,little,1433,15,furniture/equipment,good
986,33,male,2,own,little,6289,42,business,good
987,64,female,2,own,moderate,1409,13,radio/TV,good
988,29,male,3,free,little,6579,24,car,good
989,48,male,1,own,little,1743,24,radio/TV,good
991,34,male,1,own,moderate,1569,15,radio/TV,good
993,30,male,3,own,little,3959,36,furniture/equipment,good
995,31,female,1,own,little,1736,12,furniture/equipment,good
996,40,male,3,own,little,3857,30,car,good
997,38,male,2,own,little,804,12,radio/TV,good
998,23,male,2,free,little,1845,45,radio/TV,bad
999,27,male,2,own,moderate,4576,45,car,good
